ASGS code,Location,Estimated resident population,Deaths,Standardised death rate
103041077,Orange,"19,135",243,7.1
103041078,Orange - North,"23,244",140,5.2
103041079,Orange Surrounds,"11,869",67,4.8
10304,Orange,"61,859",496,5.8
103,Central West,"214,132","2,185",6.1
104011080,Grafton,"19,453",257,6.5
104011081,Grafton Surrounds,"17,153",131,5.4
104011082,Maclean - Yamba - Iluka,"17,615",255,6
10401,Clarence Valley,"54,221",643,6
104021083,Bellingen,"6,164",62,6.5
104021084,Coffs Harbour - North,"18,363",176,5.3
104021085,Coffs Harbour - South,"11,367",245,8.2
104021086,Coramba - Nana Glen - Bucca,"3,979",18,np
104021087,Dorrigo,"3,230",36,np
104021088,Korora - Emerald Beach,"10,437",40,3.3
104021089,Sawtell - Boambee,"20,217",176,5.1
104021090,Urunga,"4,925",61,5.3
104021091,Woolgoolga - Arrawarra,"14,746",129,5.7
10402,Coffs Harbour,"93,428",943,5.7
104,Coffs Harbour - Grafton,"147,649","1,586",5.8
105011092,Bourke - Brewarrina,"3,515",42,9.7
105011093,Cobar,"4,125",34,7.6
105011094,Coonamble,"4,022",52,9.1
105011095,Nyngan - Warren,"4,595",51,6.5
105011096,Walgett - Lightning Ridge,"5,813",61,8.3
10501,Bourke - Cobar - Coonamble,"22,070",240,8
105021097,Broken Hill,"17,569",240,7.6
105021098,Far West,"2,295",20,np
10502,Broken Hill and Far West,"19,864",260,7.6
105031099,Coonabarabran,"7,960",112,6.5
105031100,Dubbo - East,"10,803",90,7.3
105031101,Dubbo - South,"19,975",193,6.5
105031102,Dubbo - West,"10,543",92,6.1
105031103,Dubbo Surrounds,"6,022",36,4.5
105031104,Gilgandra,"4,410",64,7.3
105031105,Narromine,"6,534",70,6.6
105031106,Wellington,"8,941",87,6.9
10503,Dubbo,"75,188",744,6.5
105,Far West and Orana,"117,122","1,244",7
106011107,Branxton - Greta - Pokolbin,"13,521",51,4.4
106011108,Cessnock,"23,856",302,7.8
106011109,Cessnock Surrounds,"9,355",49,4.1
106011110,Dungog,"9,722",89,5.3
106011111,Kurri Kurri - Abermain,"21,574",168,6.5
106011112,Singleton,"17,431",148,6.7
106011113,Singleton Surrounds,"5,398",18,np
10601,Lower Hunter,"100,857",825,6.2
106021114,Maitland,"9,146",87,7.2
106021116,Maitland - North,"8,948",50,4.9
106021614,East Maitland - Metford,"18,140",112,5.1
106021615,Rutherford (North) - Aberglasslyn,"18,391",191,7.9
106021616,Rutherford (South) - Telarah,"8,398",41,5.2
106021617,Tenambit - East Maitland,"10,291",66,4
106021618,Thornton - Millers Forest,"17,065",51,3.8
10602,Maitland,"90,379",598,5.5
106031119,Anna Bay,"6,591",55,4
